"fips","state_fips","county_fips","areaname","state_name","county_name","fipsst","fipsco","region","division","pop1970","pop1971","pop1972","pop1973","pop1974","pop1975","pop1976","pop1977","pop1978","pop1979","pop1980","pop1981","pop1982","pop1983","pop1984","pop1985","pop1986","pop1987","pop1988","pop1989","pop1990","pop1991","pop1992","pop1993","pop1994","pop1995","pop1996","pop1997","pop1998","pop1999","pop2000","pop2001","pop2002","pop2003","pop2004","pop2005","pop2006","pop2007","pop2008","pop2009","pop19904","pop20104","base20104","pop2010","pop2011","pop2012","pop2013","pop2014"
"01013",1,1013,"Butler County, Alabama"," Alabama","Butler County","01","01013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20947,20946,20945,20676,20409,20289,20296
"01013",1,13,"Butler County","Alabama","Butler County","01","013",3,6,22007,21800,21500,21200,21200,21200,21400,20900,20900,21200,21680,22186,22399,22384,22443,22427,22340,22405,22207,22035,21884,21742,21772,21781,21811,21773,21801,21769,21658,21522,21313,21036,20607,20536,20476,20338,20231,20243,20171,19964,21892,,,,,,,
"01015",1,15,"Calhoun County","Alabama","Calhoun County","01","015",3,6,103092,103600,103800,105000,105900,107000,112800,112800,116500,116700,119761,120814,122109,121249,121739,118644,117700,118092,117260,116381,116115,115218,115749,116250,116078,116687,116577,117132,117083,116541,111342,111019,110860,111378,111615,112081,112453,112808,113422,114081,116032,,,,,,,
"01015",1,1015,"Calhoun County, Alabama"," Alabama","Calhoun County","01","01015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118572,118586,118443,117760,117264,116547,115916
"01017",1,17,"Chambers County","Alabama","Chambers County","01","017",3,6,36356,36300,36100,37000,37500,37500,37900,38400,38700,39300,39191,39382,39336,39258,39073,38614,37982,37753,37385,37208,36882,36902,37025,36997,37032,37133,36857,36640,36706,36369,36593,36281,35952,35626,35387,35173,34822,34731,34473,34320,36876,,,,,,,
"01017",1,1017,"Chambers County, Alabama"," Alabama","Chambers County","01","01017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34215,34170,34111,34004,34087,34175,34076
"01019",1,19,"Cherokee County","Alabama","Cherokee County","01","019",3,6,15606,16500,16900,17200,17700,18100,18600,18400,18600,18600,18760,19310,19525,19136,18989,18890,18985,19229,19517,19467,19603,19676,19814,20174,20497,20958,21281,21601,21827,21894,24053,24078,24143,24159,24291,24268,24531,24474,24413,24448,19543,,,,,,,
"01019",1,1019,"Cherokee County, Alabama"," Alabama","Cherokee County","01","01019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25989,25986,25968,26073,26017,26115,26037
"01021",1,21,"Chilton County","Alabama","Chilton County","01","021",3,6,25180,25600,26400,27200,27900,28600,29100,29300,29900,30500,30612,30702,30361,30734,31080,31560,31924,31994,32310,32365,32520,33045,33220,33661,34195,34849,35631,36310,36926,37604,39781,40030,40460,40776,41170,41510,41821,42362,42696,42971,32458,,,,,,,
"01021",1,1021,"Chilton County, Alabama"," Alabama","Chilton County","01","01021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43643,43631,43682,43749,43709,43836,43931
"01023",1,1023,"Choctaw County, Alabama"," Alabama","Choctaw County","01","01023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13859,13858,13849,13604,13559,13397,13323
"01023",1,23,"Choctaw County","Alabama","Choctaw County","01","023",3,6,16589,16500,16700,17000,16800,17200,17400,17300,16900,16900,16839,16672,16367,16594,16618,16710,16727,16557,16477,16166,15984,15996,16118,16102,16050,15991,15989,15883,15829,15518,15850,15652,15342,15168,14894,14507,14389,14178,14083,13990,16018,,,,,,,
"01025",1,1025,"Clarke County, Alabama"," Alabama","Clarke County","01","01025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25833,25840,25782,25592,25168,25166,24945
"01025",1,25,"Clarke County","Alabama","Clarke County","01","025",3,6,26724,25900,26300,26500,26900,27400,27900,28200,28400,27600,27702,28128,27946,27864,27637,27419,27363,27527,27271,27164,27311,27503,27727,27827,28037,27938,28077,28606,28531,28756,27833,27634,27273,27076,26944,26740,26729,26416,26264,26042,27240,,,,,,,
"01027",1,27,"Clay County","Alabama","Clay County","01","027",3,6,12636,12900,13200,13000,13100,13200,13400,13300,13700,13900,13703,13864,13765,13759,13667,13700,13509,13331,13266,13172,13281,13292,13386,13467,13486,13507,13633,13841,13966,14012,14264,14257,14173,14066,13939,13847,13777,13772,13807,13640,13252,,,,,,,
"01027",1,1027,"Clay County, Alabama"," Alabama","Clay County","01","01027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13932,13932,13886,13677,13465,13506,13552
"01029",1,29,"Cleburne County","Alabama","Cleburne County","01","029",3,6,10996,11200,11400,11700,11800,12000,12100,12100,12200,12600,12595,12799,12876,12727,12630,12659,12555,12731,12745,12754,12733,12733,12941,13162,13207,13301,13521,14090,14283,14456,14156,14196,14376,14378,14264,14276,14433,14692,14736,14759,12730,,,,,,,
"01029",1,1029,"Cleburne County, Alabama"," Alabama","Cleburne County","01","01029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14972,14972,14969,14967,14918,15017,15080
"01031",1,1031,"Coffee County, Alabama"," Alabama","Coffee County","01","01031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49948,49948,50179,50465,51217,50861,50909
"01031",1,31,"Coffee County","Alabama","Coffee County","01","031",3,6,34872,36400,36200,35600,35500,36500,37000,37400,37500,37800,38533,39694,39836,40248,40241,40386,40636,40394,40699,40408,40256,40393,41125,41400,41986,42332,42124,42041,42222,42128,43540,43581,43759,44186,44712,45159,45639,46806,47773,48635,40240,,,,,,,
"01033",1,1033,"Colbert County, Alabama"," Alabama","Colbert County","01","01033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54428,54428,54505,54433,54473,54499,54543
"01033",1,33,"Colbert County","Alabama","Colbert County","01","033",3,6,49632,50400,50700,51300,50800,52100,52100,53100,53300,54100,54519,54724,54069,53505,52995,52858,52481,51905,51502,51382,51816,52253,52279,52572,52421,52421,52630,53094,52924,52552,55024,54841,54594,54319,54427,54399,54462,54606,54626,54639,51666,,,,,,,
"01035",1,1035,"Conecuh County, Alabama"," Alabama","Conecuh County","01","01035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13228,13228,13219,13133,13005,12898,12670
"01035",1,35,"Conecuh County","Alabama","Conecuh County","01","035",3,6,15645,15800,15800,15700,15500,15800,15500,15400,15800,15900,15884,15630,15526,15308,15140,15029,15006,14767,14443,14225,14032,14275,14133,14110,14133,14086,14176,14032,13863,13728,14040,13894,13699,13436,13238,13176,13309,13118,13038,12931,14054,,,,,,,
"01037",1,1037,"Coosa County, Alabama"," Alabama","Coosa County","01","01037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11539,11758,11757,11344,11181,11065,10886
"01037",1,37,"Coosa County","Alabama","Coosa County","01","037",3,6,10662,10700,10900,11400,11500,11500,11200,11500,11700,11600,11377,11447,11330,11257,11238,11033,11129,11185,11073,11073,11060,11110,11071,11290,11588,11694,11551,11585,11637,11712,11843,11746,11539,11423,11156,10964,10857,10783,10724,10556,11063,,,,,,,
"01039",1,1039,"Covington County, Alabama"," Alabama","Covington County","01","01039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37765,37765,37784,38049,37809,37850,37914
"01039",1,39,"Covington County","Alabama","Covington County","01","039",3,6,34079,34600,35000,35300,36100,36200,36200,36300,36500,37100,36850,36939,36777,36861,36992,37152,36795,36740,36599,36532,36509,36563,36848,37069,36922,37257,37414,37432,37461,37587,37490,36939,36661,36495,36322,36594,36717,36804,36646,36678,36478,,,,,,,
"01041",1,41,"Crenshaw County","Alabama","Crenshaw County","01","041",3,6,13188,13400,13500,13900,14000,13900,13900,13900,13900,14100,14110,14145,13998,13945,13896,13899,13860,13864,13830,13784,13598,13551,13511,13557,13478,13586,13580,13694,13626,13619,13696,13700,13580,13562,13602,13541,13688,13741,13686,13781,13635,,,,,,,
"01041",1,1041,"Crenshaw County, Alabama"," Alabama","Crenshaw County","01","01041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13906,13906,13866,13914,13972,13960,13977
"01043",1,43,"Cullman County","Alabama","Cullman County","01","043",3,6,52445,54300,55800,57200,57700,58100,59700,60400,61100,61500,61642,62040,62382,63084,64390,65039,65823,66387,66617,67042,67791,68569,69592,70430,71451,72287,73409,74086,74944,75661,77580,77661,77814,78110,78711,79382,79871,80602,81518,81778,67613,,,,,,,
"01043",1,1043,"Cullman County, Alabama"," Alabama","Cullman County","01","01043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80406,80410,80454,80455,80361,80783,81289
"01045",1,1045,"Dale County, Alabama"," Alabama","Dale County","01","01045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50251,50251,50340,50085,50310,49845,49484
"01045",1,45,"Dale County","Alabama","Dale County","01","045",3,6,52995,54500,49500,43900,44400,46100,44900,44700,46700,46400,47821,48621,48500,48729,48381,48458,49257,49587,50646,49985,49599,49809,49793,49663,50362,50229,49453,49101,48916,49127,49068,49001,49070,49052,48691,48319,48038,48263,48400,48147,49633,,,,,,,
"01047",1,1047,"Dallas County, Alabama"," Alabama","Dallas County","01","01047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43820,43820,43836,43225,42839,42102,41711
"01047",1,47,"Dallas County","Alabama","Dallas County","01","047",3,6,55296,55900,57100,57300,58300,58400,58200,58200,54700,54500,53981,53762,53947,53447,53331,52881,52083,50766,49669,48931,48013,47848,47934,47996,47806,47709,47350,47109,46803,46669,46181,45910,44944,44504,43927,43358,43050,42780,42627,41925,48130,,,,,,,
"01049",1,49,"DeKalb County","Alabama","DeKalb County","01","049",3,6,41981,43700,44800,46700,47900,50000,51200,52000,53100,53500,53658,54271,53798,53906,54148,53922,53642,53927,54164,54460,54763,55342,55845,56484,57533,57285,57374,57653,58274,58948,64638,65519,65545,66009,66574,66920,67447,68275,68894,69380,54651,,,,,,,
"01049",1,1049,"DeKalb County, Alabama"," Alabama","DeKalb County","01","01049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71109,71115,71118,71361,70930,70894,71065
"01051",1,1051,"Elmore County, Alabama"," Alabama","Elmore County","01","01051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79303,79296,79444,79983,80392,80808,80977
"01051",1,51,"Elmore County","Alabama","Elmore County","01","051",3,6,33661,33900,35400,36500,38000,39700,39700,40500,41400,43000,43390,43731,44343,44515,44983,45570,46080,47566,48115,48629,49470,50661,52383,54049,55475,57073,58573,60340,61985,63488,66230,67566,68822,70151,71276,73241,75511,77459,78125,79233,49210,,,,,,,
"01053",1,1053,"Escambia County, Alabama"," Alabama","Escambia County","01","01053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38319,38319,38312,38222,38048,37893,37733
"01053",1,53,"Escambia County","Alabama","Escambia County","01","053",3,6,34912,35200,36500,36900,37100,38300,37600,37500,37600,37900,38440,37560,37474,37404,37494,37346,37383,37129,36315,35733,35485,35576,35937,36126,36280,36231,36388,36622,36732,36671,38402,38430,38319,38028,37888,37642,37572,37623,37532,37434,35518,,,,,,,
"01055",1,55,"Etowah County","Alabama","Etowah County","01","055",3,6,94144,94900,95800,96100,96600,97900,99000,100200,101700,102900,103057,103143,102524,102707,102307,102291,101664,101314,100728,100327,99799,100295,100832,101150,102019,102082,102757,103758,103923,103472,103313,102914,102815,102698,102657,102602,102854,103216,103435,103645,99840,,,,,,,
"01055",1,1055,"Etowah County, Alabama"," Alabama","Etowah County","01","01055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104430,104427,104501,104310,104324,103962,103531
"01057",1,57,"Fayette County","Alabama","Fayette County","01","057",3,6,16252,16100,16400,16500,17100,17400,17400,17500,17800,18300,18809,18975,19181,18996,19161,19149,18967,18611,18187,17978,17996,18111,18092,18025,18039,18006,18061,18110,18096,18103,18456,18341,18244,18145,17998,18012,17758,17538,17577,17371,17962,,,,,,,
"01057",1,1057,"Fayette County, Alabama"," Alabama","Fayette County","01","01057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17241,17241,17247,17082,16982,16909,16874
"01059",1,59,"Franklin County","Alabama","Franklin County","01","059",3,6,23933,24600,25500,26000,26800,26800,27200,27700,27900,28800,28350,28191,28255,28358,28730,28698,28534,28358,28297,28004,27769,27953,28364,28661,28923,29192,29402,29606,29684,29716,31208,31112,30766,30684,30533,30673,30791,30627,31051,31091,27814,,,,,,,
"01059",1,1059,"Franklin County, Alabama"," Alabama","Franklin County","01","01059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31704,31709,31755,31757,31660,31542,31601
"01061",1,61,"Geneva County","Alabama","Geneva County","01","061",3,6,21924,22200,22800,22700,22700,23200,23200,23400,23600,23900,24253,23902,23769,23702,23905,24023,23907,23809,23626,23432,23719,24108,24071,24291,24500,24655,24753,24845,24875,24968,25790,25528,25458,25481,25458,25584,25769,25717,25971,25961,23647,,,,,,,
"01061",1,1061,"Geneva County, Alabama"," Alabama","Geneva County","01","01061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26790,26790,26793,26829,27002,26742,26712
"01063",1,63,"Greene County","Alabama","Greene County","01","063",3,6,10650,10300,10200,10600,10600,10700,11000,10800,11000,10800,11021,11082,11007,11088,10947,10795,10577,10370,10331,10208,10164,10222,10206,10125,10018,9938,9971,9931,9843,9756,9946,9864,9840,9697,9534,9472,9119,9100,9039,8829,10153,,,,,,,
"01063",1,1063,"Greene County, Alabama"," Alabama","Greene County","01","01063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9045,9045,8992,8902,8827,8718,8553
"01065",1,1065,"Hale County, Alabama"," Alabama","Hale County","01","01065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15760,15760,15727,15355,15390,15311,15184
"01065",1,65,"Hale County","Alabama","Hale County","01","065",3,6,15888,15600,15800,15900,15600,15700,15700,15800,15700,15900,15604,15570,15417,15321,15303,15028,15053,15102,15292,15390,15529,15719,15912,15978,16064,16202,16358,16442,16750,16870,18288,18271,18047,18013,17876,17921,17901,18091,18083,17975,15498,,,,,,,
"01067",1,1067,"Henry County, Alabama"," Alabama","Henry County","01","01067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17302,17302,17287,17403,17248,17224,17190
"01067",1,67,"Henry County","Alabama","Henry County","01","067",3,6,13254,13500,13500,13700,14100,14300,14600,14700,14900,15000,15302,15436,15219,15147,15198,15260,15087,15155,15174,15317,15417,15640,15583,15676,15743,15685,15570,15699,15798,15787,16344,16301,16326,16370,16432,16424,16555,16653,16623,16647,15374,,,,,,,
"01069",1,69,"Houston County","Alabama","Houston County","01","069",3,6,56574,58500,61600,64000,68500,70600,71900,72800,74300,74700,74632,76238,77072,77125,77398,78035,78634,80016,80502,80706,81611,82358,83254,83957,83427,83835,84699,85133,85613,86116,88919,89437,89849,91147,92374,93614,95511,97392,98852,100085,81331,,,,,,,
"01069",1,1069,"Houston County, Alabama"," Alabama","Houston County","01","01069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101547,101547,101787,102423,103368,103626,104193
"01071",1,71,"Jackson County","Alabama","Jackson County","01","071",3,6,39202,40700,42200,43100,45200,47000,48100,49700,51000,51600,51407,51381,51292,50575,50179,49505,48666,48568,48423,47793,47902,48366,48823,49290,49422,49936,50654,50704,51339,51535,54029,53972,53648,53483,53217,52923,52998,52796,52934,52838,47796,,,,,,,
"01071",1,1071,"Jackson County, Alabama"," Alabama","Jackson County","01","01071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53227,53226,53159,53244,53048,52944,52665
"01073",1,1073,"Jefferson County, Alabama"," Alabama","Jefferson County","01","01073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658466,658350,658302,657927,657953,659197,660793
"01073",1,73,"Jefferson County","Alabama","Jefferson County","01","073",3,6,644991,649800,647100,650600,648800,655300,661300,663600,667400,671700,671371,667790,662404,660835,659571,658988,657905,657665,655628,653400,652109,656128,659355,661267,662990,663092,662376,660202,660039,657422,662214,661494,659766,660486,660016,659715,661447,661477,663394,665027,651520,,,,,,,
"01075",1,1075,"Lamar County, Alabama"," Alabama","Lamar County","01","01075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14564,14564,14499,14295,14255,14203,14086
"01075",1,75,"Lamar County","Alabama","Lamar County","01","075",3,6,14335,14700,15500,15400,15800,16000,16100,16100,16100,16200,16453,16423,16485,16358,16329,16529,16512,16324,16060,15843,15706,15736,15687,15862,15871,15874,15888,15957,16012,16034,15905,15561,15317,15065,14828,14707,14456,14484,14341,14200,15715,,,,,,,
"01077",1,1077,"Lauderdale County, Alabama"," Alabama","Lauderdale County","01","01077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92709,92709,92726,92609,92694,92774,93096
"01077",1,77,"Lauderdale County","Alabama","Lauderdale County","01","077",3,6,68111,70200,70900,72300,73400,74300,75800,77100,78500,80500,80546,81380,81070,80545,80493,80492,80172,79934,79630,79380,79881,80755,81580,82484,82871,83438,83973,83909,84206,84327,87982,87393,86872,86944,87203,87437,87992,88522,89200,89599,79661,,,,,,,
"01079",1,79,"Lawrence County","Alabama","Lawrence County","01","079",3,6,27281,27400,28400,28000,28700,28600,29200,29600,30100,30300,30170,30238,30588,30670,31101,31146,30987,31005,31103,31391,31586,32083,32160,32457,32368,32764,33079,33278,33447,33795,34856,34836,34643,34393,34204,34293,33875,34151,34047,34106,31513,,,,,,,
"01079",1,1079,"Lawrence County, Alabama"," Alabama","Lawrence County","01","01079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34339,34339,34306,34044,33776,33571,33477
"01081",1,81,"Lee County","Alabama","Lee County","01","081",3,6,61268,61900,62200,64600,68800,69400,70000,71900,74100,76000,76283,77777,79001,79121,80289,81176,82776,82681,84601,85851,87488,88243,89290,90952,91656,93802,95402,98438,100481,102164,115511,116759,118197,119631,121698,125350,128217,130791,133105,135883,87146,,,,,,,
"01081",1,1081,"Lee County, Alabama"," Alabama","Lee County","01","01081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140247,140296,140799,144146,148040,151708,154255
"01083",1,83,"Limestone County","Alabama","Limestone County","01","083",3,6,41699,42000,43300,43500,43500,44000,44400,44500,44900,45000,46005,45842,46429,47273,47697,49354,50115,51307,52445,53810,54320,55453,56753,57940,58583,59178,59998,61135,62247,63037,65930,66643,67108,67685,68407,69792,71795,73909,76314,78572,54135,,,,,,,
"01083",1,1083,"Limestone County, Alabama"," Alabama","Limestone County","01","01083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82782,82782,83179,85580,87363,88924,90787
"01085",1,1085,"Lowndes County, Alabama"," Alabama","Lowndes County","01","01085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11299,11299,11285,11131,10864,10730,10580
"01085",1,85,"Lowndes County","Alabama","Lowndes County","01","085",3,6,12897,13300,13700,13800,13800,13400,13500,13800,13900,13300,13253,13100,12811,12719,12747,12720,12689,12745,12542,12728,12661,12669,12682,12756,12753,12950,12838,12876,12984,13029,13487,13451,13459,13316,13033,12898,12711,12664,12592,12293,12658,,,,,,,
"01087",1,1087,"Macon County, Alabama"," Alabama","Macon County","01","01087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21452,21450,21542,21264,20470,19822,19425
"01087",1,87,"Macon County","Alabama","Macon County","01","087",3,6,24841,25300,25600,25500,25700,26200,26700,27100,27000,26600,26829,26571,26403,25989,25510,25379,25321,25603,25360,25213,24882,24486,24655,24414,23980,23586,23533,23074,23207,22993,24075,23980,23651,23470,23041,22736,22544,22258,22195,21789,24928,,,,,,,
"01089",1,1089,"Madison County, Alabama"," Alabama","Madison County","01","01089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334811,334811,336239,339668,342868,347073,350299
"01089",1,89,"Madison County","Alabama","Madison County","01","089",3,6,186540,188600,189100,189800,188300,188200,190200,192500,193200,194900,196966,199929,202737,206594,210710,215234,220122,225390,231324,235778,240142,247060,255250,264433,268929,268728,270331,272382,278008,280381,277868,281264,286037,290763,294814,300272,307509,313796,320914,327744,238912,,,,,,,
"01091",1,91,"Marengo County","Alabama","Marengo County","01","091",3,6,23819,23400,24300,24200,24300,24600,25200,25400,25400,25300,25047,24693,24666,24587,24385,24235,23922,23818,23616,23428,23021,23120,23251,23449,23492,23499,23440,23508,23375,23158,22566,22179,22161,21930,21649,21405,21335,21265,21100,20943,23084,,,,,,,
"01091",1,1091,"Marengo County, Alabama"," Alabama","Marengo County","01","01091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21027,21029,20951,20711,20443,20228,20110
"01093",1,1093,"Marion County, Alabama"," Alabama","Marion County","01","01093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30776,30777,30810,30731,30516,30305,30271
"01093",1,93,"Marion County","Alabama","Marion County","01","093",3,6,23788,25400,26300,27200,28100,28500,28600,29100,29500,29800,30041,30339,30586,31115,30784,30809,30252,30322,30040,29957,29826,29579,29706,29945,30145,30483,30882,30914,30857,30464,31149,30588,30235,29972,29712,29493,29585,29501,29378,29116,29830,,,,,,,
"01095",1,1095,"Marshall County, Alabama"," Alabama","Marshall County","01","01095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93019,93019,93170,93927,94303,94569,94636
"01095",1,95,"Marshall County","Alabama","Marshall County","01","095",3,6,54211,55900,57000,58000,59200,61100,62100,63500,65000,65000,65622,66400,66869,67323,68265,69389,69746,70375,70656,70563,71020,71799,73268,75053,76674,78125,79322,79951,80192,80524,82333,82191,82922,83592,84161,85298,86760,87970,89200,90399,70832,,,,,,,
"01097",1,1097,"Mobile County, Alabama"," Alabama","Mobile County","01","01097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412992,413143,413432,413154,413955,414560,415123
"01097",1,97,"Mobile County","Alabama","Mobile County","01","097",3,6,317308,323300,324300,324500,329400,335200,344900,353100,360100,361700,364980,370432,374782,376842,376211,378847,381729,383696,381501,378869,379163,382982,388122,393816,395838,395863,396444,398229,398886,399652,400061,400094,398417,397707,397521,398369,402199,405234,409132,411721,378643,,,,,,,
